year,Queensland,NSW,Victoria,SA,Tasmania
2013,61,53,54,68,42
2014,61,36,32,42,37
2015,64,54,50,67,97
2016,103,88,70,123,76
2017,75,85,99,109,88
2018,83,92,124,128,88
2019,56,79,84,73,56
2020,66,72,51,53,45
2021,125,81,54,70,41
