ABC,year_2015,year_2016,year_2017,year_2018,year_2019
Tasmania,9396,9683.9,10740.2,11158.6,11461.2
New South Wales,7976.8,8539.7,9332.3,11143,13289.8
South Australia,5396.6,5499.9,6937.6,7528.7,8266
Western Australia,2577.2,2987.9,3190.9,3760.7,4450.5
Queensland,4355.3,4481.7,4988.1,7611.4,10236.2
Victoria,8385.6,9174.1,9328.8,10662,12016.3
Northern Territory,58.7,97.3,124.9,159.3,210.2
